photo,foto
ngisi,mengisi
if,jika
doank,doang
tropy,trofi
ngomongin,membicarakan
keitung,terhitung
kopit,covid
bae,aja
masi,masih
discipline,disiplin
ngerasa,merasa
ngabisin,menghabiskan
nyeruduk,menyeruduk
finalists,finalis
pingin,ingin
bergadang,begadang
mahu,mau
nampilin,menampilkan
nyangka,menyangka
nahan2,menahan
harusa,harus
January,Januari
kebukti,terbukti
nggak,tidak
"ati""",hati-hati
guys,teman-teman
send,kirim
tf,transfer
nipu,menipu
doang,saja
gamon,gagal move on
dijudge,dihakimi
support,dukung
prime,prima
gereget,greget
dimanfaatin,dimanfaatkan
menuhi,memenuhi
ninggalin,meninggalkan
nemuin,menemukan
paska,pasca
dilupain,dilupakan
free,gratis
